GRNId,POId,Item,QuantityReceived,Price
GRN81,PO15,totaltokens 251,18,80
GRN82,PO15,totaltokens 251,5,80
GRN83,PO15,totaltokens 251,3,80
GRN84,PO16,prompttokensdetails       cachedtokens 0,2,116
GRN85,PO16,prompttokensdetails       cachedtokens 0,20,116
GRN86,PO16,prompttokensdetails       cachedtokens 0,1,116
GRN87,PO16,prompttokensdetails       cachedtokens 0,15,116
GRN88,PO16,prompttokensdetails       cachedtokens 0,13,116
GRN89,PO16,prompttokensdetails       cachedtokens 0,10,116
GRN90,PO16,prompttokensdetails       cachedtokens 0,2,116
GRN91,PO16,prompttokensdetails       cachedtokens 0,7,116
GRN92,PO16,prompttokensdetails       cachedtokens 0,3,116
GRN93,PO16,prompttokensdetails       cachedtokens 0,13,116
GRN94,PO16,prompttokensdetails       cachedtokens 0,14,116
GRN95,PO17,systemfingerprint null,7,78
GRN96,PO17,systemfingerprint null,17,78
GRN97,PO17,systemfingerprint null,12,78
GRN98,PO17,systemfingerprint null,9,78
GRN99,PO17,systemfingerprint null,21,78
GRN100,PO17,systemfingerprint null,9,78
GRN101,PO17,systemfingerprint null,3,78
GRN102,PO18,totaltokens 251,1,52
GRN103,PO18,totaltokens 251,6,52
GRN104,PO18,totaltokens 251,14,52
GRN105,PO18,totaltokens 251,12,52
GRN106,PO18,totaltokens 251,5,52
GRN107,PO18,totaltokens 251,19,52
GRN108,PO18,totaltokens 251,11,52
GRN109,PO18,totaltokens 251,5,52
GRN110,PO19,usage     prompttokens 32,3,132
GRN111,PO19,usage     prompttokens 32,11,132
GRN112,PO19,usage     prompttokens 32,10,132
GRN113,PO19,usage     prompttokens 32,11,132
GRN114,PO19,usage     prompttokens 32,12,132
GRN115,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,6,102
GRN116,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,3,102
GRN117,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,1,102
GRN118,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,6,102
GRN119,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,6,102
GRN120,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,5,102
GRN121,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,13,102
GRN122,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,2,102
GRN123,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,14,102
GRN124,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,15,102
GRN125,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,14,102
GRN126,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,2,102
GRN127,PO20,and any other relevant detailsnn4 Condition of goods Inspect the condition of the goods received against the quality standards specified in the PO to ensure that they meet requirementsnn5 Dates and signatures Verify that the dates on the GRN match the dates of goods receipt and that the GRN is signed by the appropriate personnel to acknowledge receiptnnBy thoroughly comparing these key points between the GRN and PO data,8,102
GRN128,PO21,servicetier default,3,81
GRN129,PO21,servicetier default,2,81
GRN130,PO21,servicetier default,11,81
GRN131,PO21,servicetier default,14,81
GRN132,PO21,servicetier default,21,81
GRN133,PO21,servicetier default,10,81
GRN134,PO21,servicetier default,9,81
GRN135,PO21,servicetier default,20,81
GRN136,PO22,unit prices,9,101
GRN137,PO22,unit prices,8,101
GRN138,PO22,unit prices,4,101
GRN139,PO22,unit prices,17,101
GRN140,PO22,unit prices,1,101
GRN141,PO22,unit prices,7,101
GRN142,PO23,servicetier default,11,93
GRN143,PO23,servicetier default,2,93
GRN144,PO23,servicetier default,15,93
GRN145,PO24,unit prices,10,79
GRN146,PO24,unit prices,3,79
GRN147,PO24,unit prices,6,79
GRN148,PO24,unit prices,6,79
GRN149,PO24,unit prices,17,79
GRN150,PO24,unit prices,2,79
GRN151,PO25,refusal null,11,126
GRN152,PO25,refusal null,6,126
GRN153,PO25,refusal null,12,126
GRN154,PO25,refusal null,12,126
GRN155,PO25,refusal null,5,126
GRN156,PO25,refusal null,11,126
